Category,Resume,candidate_num
DotNet Developer,"TECHNICAL SKILLS â¢ Web Technologies: ASP .NET, HTML, CSS, Jquery. â¢ Languages: C, C++, C#.NET, MVC 5. â¢ Database: SQL SERVER 2005/2008/2016. â¢ Reporting Tools.: Kindo UI, Telerik functions, Crystal Report. â¢ Platforms: Visual Stadio 2010/2014. Education Details 
January 2014 B.E  Satara, Maharashtra L.N.B.C.College of Engg Satara.
January 2011 Diploma Thergaon Pune, Maharashtra M.M.Polytechnic
Dot net developer 


Skill Details 
.NET- Exprience - 24 months
ASP- Exprience - 24 months
C#- Exprience - 24 months
C++- Exprience - 6 months
CRYSTAL REPORT- Exprience - 6 months
Html- Exprience - Less than 1 year months
Css- Exprience - Less than 1 year months
Entityframewok,jquery,javascript- Exprience - Less than 1 year months
Mvc- Exprience - 6 months
Sql- Exprience - 24 monthsCompany Details 
company - Corecode technology
description - Worked on web application using asp,c#,mvc
as well as sql for database and also bootstrap,css,html for designing.created reports using kindo and telerik controls
company - Inetsoft solution
description - Created web application using asp and c# and also used sql for database.",Applicant 1
DotNet Developer,"Participated in intra college cricket competition and various other sports events. Group dance in college cultural programme Education Details 
 Msc Computer Science Pune, Maharashtra Pune University
 Bsc Computer Science Pune, Maharashtra Pune University
 HSC Semi-English Pune, Maharashtra Maharashatra Board
 SSC Semi-English Pune, Maharashtra Maharashatra Board
DOT NET Developer 

Dot Net Developer
Skill Details 
Asp.Net,C#, HTML, CSS, SQL- Exprience - 6 months
Javascript- Exprience - Less than 1 year months
sql server 2008/2012- Exprience - Less than 1 year monthsCompany Details 
company - 
description - ",Applicant 2
DotNet Developer,"Technical Skills â¢ Languages: C#, ASP .NET MVC, HTML, CSS, JavaScript, AngularJs â¢ Primary Skill: Entity Framework. â¢ Tools Used: SQL Server 14, Visual Studio 13. Project Details: 1.Project Name: Transport Management System Role: Dot Net Developer Platform Used: MVC, AngularJs, SQL Server Description: This project is about the Transport Management System. This project is used to keeps all the record of the Vehicle, Customer, Employee. Reduce costs with centralized planning and execution of logistics activities. Vehicle owner can add his vehicle for rent of the specific day into the application from their location. Admin can easily access the data of Vehicle, Customer & Employee. Responsibilities: Used 3-tier architecture for presentation layer, the Business and Data Access Layers and were coded using C# as per user Requirements. Make changes in the project with discussing the group for new requirement. Work on Customer and Vehicle model. 2.Project Name: CRM Role: Dot Net Developer Platform Used: MVC, SQL Server Description: It's kind of CRM Application where a training institute can easily track their student data. where we have different user store or access and utilise to manage this data with application. Any user can easily fill the information of the leads comes in that institute also who joined or Convert that leads as a student in that institute. All information can store or easily manage this application also the good leads or the student who didn't join but their records are store in this application so this application help institute to fetch all the contacts information or those leads or student who didn't join that time. We can later contact to those leads in future. Also with the application we get to know each and every leads or student who joined Responsibilities: Used 3-tier architecture for presentation layer, the Business and Data Access Layers and were coded using C# as per user Requirements. Make changes in the project with discussing the group for new requirement. Work on Enquiry model. Key Strength: â¢ Adaptability. â¢ Hard Worker. â¢ Self Motivated. â¢ Positive Attitude.Education Details 
January 2008 HSC   Maharashtra Board
January 2006 SSC   Maharashtra Board
Dot Net Developer 

Dot Net Developer - Glyphisoft Technology
Skill Details 
ASP- Exprience - 14 months
DOT- Exprience - 14 months
MODEL VIEW CONTROLLER- Exprience - 14 months
MODEL-VIEW-CONTROLLER- Exprience - 14 months
MVC- Exprience - 14 monthsCompany Details 
company - Glyphisoft Technology
description - Having around 1.1+ Years of experience in development in Asp.net MVC
â¢   Currently associated with Glyphisoft Technology Solution as .net Developer.",Applicant 3
DotNet Developer,"Education Details 
January 2014  Education Details Pune, Maharashtra University Of Pune
January 2010 B.Com  Pune, Maharashtra University Of Pune
Software Developer 

Software Developer - Technology - Dot Net
Skill Details 
Company Details 
company - Technology - Dot Net
description - â¢ Previous Experience worked in SepSoft ERP  Solutions From 1-Jan 2016  To 24th Dec 2016.

â¢ Designation - Software Developer.
â¢ Technology - Dot Net",Applicant 4
DotNet Developer,"Technologies ASP.NET, MVC 3.0/4.0/5.0, Unit Testing, Entity Framework 6.0 Languages C#.NET JS Library JavaScript, JQuery, Angular1.5, Typescript. Tools Visual Studio 2008/2010/2012/2015, Visual Studio Code (IDE), .NET Framework 2.0, 3.5, 4.0, 4.5 Databases SQL Server 2005, 2008, 2014, 2015 Source control tools Tortoise SVN, Git,Education Details 
January 2010 B.Tech  Kakinada, Andhra Pradesh JNTU
Dot Net Developer 

Dot Net Developer - The Tie Bar
Skill Details 
.NET- Exprience - 34 months
ASP- Exprience - 34 months
ASP.NET- Exprience - 34 months
C#- Exprience - 34 months
JAVASCRIPT- Exprience - 34 monthsCompany Details 
company - The Tie Bar
description - Duration: January 2017 to Till Date

Responsibility:
â¢ Design and coding in a .NET server-side environment, specifically utilising the Microsoft MVC framework and client side environment using Knockout JS.
â¢ Consuming Web API and WCF Rest full services.
â¢ Designed and coded application components in an agile environment utilizing a test driven development approach.
â¢ Created and maintained project tasks and schedules.
â¢ Provided programming estimates, identified potential problems and recommended alternative solutions.
â¢ Worked in close cooperation with project managers and other functional team members to form a team effort in development.
â¢ Utilized pair programming approach to ensure high quality code.

Projects:
Title: THE TIEBAR
Environment: Visual Studio 2015, MVC 5.0, C#, JavaScript, JSON, LINQ, HTML 5
Database: SQL Server 2015

Role: Developer
Description:
The Tie Bar is US based online shopping website; it is the one-stop destination for luxury menswear with premium dress shirts, ties, bow ties and more,

Title: Leave Management System
Environment: Visual Studio 2010, ASP.Net, C#.Net, JavaScript, JQuery
Database: SQL Server 2008

Role: Developer
Description:
A Leave Management System is a web application having two module one is front end and second is admin module. Admin user can manage the site content in this application. The main functionality of this web application is used for maintaining the employee leave policy in a company

Title: Around Pune (CMS)
Environment: Visual Studio 2010, ASP.Net, C#.Net, JavaScript, JQuery
Database: SQL Server 2008

Role: Developer
Description:
Around Pune is a web application. In that there are two modules one is admin module and another is client or front end. Admin module controls the site date or its cms (content management system) project. The purpose of this site is to show or provide the details of all the spots and tourists places around the Pune.

Title: Country Side
Environment: Visual Studio 2008, ASP.Net, C#.Net, JavaScript, JQuery
Database: SQL Server 2008
Role: Developer
Description:
This is cms (content management system) website controlling by admin user. In that, there is one admin module to maintain website content. This site is used to provide information about tourist places, and provide offers, Different packages for trips.
company - Hamsa Hitech Pvt. Ltd
description - Responsibility:
â¢ Design and coding in a .NET server-side environment, specifically utilising the Asp.Net and C#.Net.
â¢ Design and implement systems that use relational databases, specifically SQL 2008.

Project:
Title: A G JOHNSON
Environment: Visual Studio 2010, ASP.Net, C#.Net, JavaScript, JQuery,
Database: SQL Server 2008
Role: Developer
Description:
A G JOHNSON is a global employment website. The main purpose of this application is to recruit employees for their clients in different countries like Switzerland, Norway and Sweden and it provide services like Organisational Development, Management and Leadership Support and Development, Legal Support

Title: CRM for Company
Environment: Visual Studio 2008, ASP.Net 3.0 using C#.Net, JavaScript, JQuery,
Database: SQL Server 2008
Role: Developer
Description:
Customer relationship management System is a web application. Which is maintaining the relation with company?  We can view the Project List, Client List, Notification List, Appointment List, Conversation List, Client Person List and Company Person.",Applicant 5
DotNet Developer,"Technical Skills CATEGORY SKILLS Language C, C#, OOP, Dot Net Technologies ASP.Net MVC, ADO.Net, Entity Framework, LINQ Web Technologies HTML, CSS Browser Scripting JavaScript, Jquery, Ajax, JSON Web Browser Internet Explorer 8.0, Mozilla Firefox10 Front-end-framework Bootstrap, Kendo UI Database SQL Server 2012 Development Tools Visual Studio 2013 Operating Systems MS Window 2007 Project Details Projects Worked On: 1. Project Name: Politician Website Role: Trainee Project Description: I developed Politician website. In this website there is Home Page, Quick Facts, Category, Biography, Gallery, and ContactUs Page. It is a totally dynamic website. Environment: Operating System: Windows 7 Development Tools: Visual Studio 2013 Database Server: SQL Server 2012 Technology: .NET Framework 4.5, ASP.Net MVC5 Presentation Layer: HTML, CSS, Jquery, Bootstrap Role and Responsibilities: â¢ Understanding requirements, Coding and unit testing. 2. Project Name: Coaching Management System (CMS) Project Description: This software is helps to manage institute (Student, Teacher, Courses, Batches, Fees, Attendance, and Marks) . Provide easy reports like outstanding Fees, Marks, and Attendance etc. This software is specially designed for coaching institute. Environment: Operating System: Windows 7 Database Server: SQL Server 2012 Technology: .NET Framework 4.5, ASP.Net MVC5 Presentation Layer: HTML, CSS, JavaScript, Jquery, Bootstrap Features: â¢ Project includes the feature of testing type and the activity on the project activities. â¢ Project includes the online management and test process. Role and Responsibilities: â¢ Worked in Development of Back-end Like Data Collections. â¢ Database Schema Designing, and Create Database Dictionary & Made Database Constraints. â¢ I was also worked on Front-end Designing like Screen Generations, form Designing & Applying client side Validation. â¢ SRS documentation and Development. 3. Project Name: Hospital Management System (HMS) Project Description: Hospital Management System is powerful, flexible, and easy to use and designed and developed to deliver real conceivable benefits to hospitals and clinics and more importantly it is backed by reliable and dependable. Hospital Management System is designed for multispecialty hospitals, to cover a wide range of hospital administration and management processes. It is an integrated end-to-end Hospital Management System that provides relevant information across the hospital to support effective decision making for patient care, hospital administration and critical financial accounting, in a seamless flow. Environment: Presentation Layer: HTML, CSS, JavaScript, Jquery, Kendo UI Business Layer: .NET Framework 4.5, ASP.Net MVC5 Database Layer: SQL Server 2012 Operating System: Windows 7 Features: â¢ Project includes the feature of testing type and the activity on the project activities. â¢ Project includes the online management and test process. Role and Responsibilities: â¢ Worked in Development of Back-end Like Data Collections. â¢ Database Schema Designing, and Create Database Dictionary & Made Database Constraints. â¢ I was also worked on Front-end Designing like Screen Generations, form Designing & Applying client side Validation. â¢ SRS documentation and Development. 4. Project Name: Ticket Booking Software (BESS) Project Description: Online Ticket Booking System is a Web based application. You can directly book the ticket by this application. This application is implemented for Bus, Tour and Travel Agency. Environment: Presentation Layer: HTML, CSS, JavaScript, Jquery, KendoUI Business Layer: .NET Framework 4.5, ASP.Net MVC5 Database Layer: SQL Server 2012 Operating System: Windows 7 Features: â¢ Project includes the feature of testing type and the activity on the project activities. â¢ Project includes the online management and test process. Role and Responsibilities: â¢ Worked in Development of Back-end Like Data Collections. â¢ Database Schema Designing, and Create Database Dictionary & Made Database Constraints. â¢ I was also worked on Front-end Designing like Screen Generations, form Designing & Applying client side Validation. â¢ SRS documentation and Development. 5. Project Name: School Management System (SMS) Project Description: School Management System is complete school management software designed to automate a school's diverse operations from classes, exams to school events calendar. This school software has a powerful online community to bring parents, teachers and student on a common interactive platform. It is paperless office automation solution for today's modern schools. The School Management System provides the facility to carry out all day to day activities of the school, making them fast, easy, efficient and accurate. Environment: Presentation Layer: HTML, CSS, JavaScript, Jquery Business Layer: .NET Framework 4.5, ASP.Net MVC5 Database Layer: SQL Server 2012 Operating System: Windows 7 Features: â¢ Project includes the feature of testing type and the activity on the project activities. â¢ Project includes the online management and test process. Role and Responsibilities: â¢ Worked in Development of Back-end Like Data Collections. â¢ Database Schema Designing, and Create Database Dictionary & Made Database Constraints. â¢ I was also worked on Front-end Designing like Screen Generations, form Designing & Applying client side Validation. â¢ SRS documentation and Development. 6. Project Name: CREDIT MONITORING application Using the CREDIT MONITORING application, RMs, UHs, Credit Controllers and CMUs are able to monitor and manage the following items online, update the regularization dates and add their comments as well as generate reports: - Overdrafts - Past Dues - SBLC / FG Expiry - Mortgage Expiry - Cheques Returns & Failed Direct Debit - NBF vs. CB Classification Relationship Manager The relationship manager can only update the Regularization Date and the RM Comments. All other fields will be disabled (greyed-out) for the relationship manager. On updating the Regularization Date and the RM Comments, a successful message will be displayed to the RM and then the RM will be navigated to the Dashboard screen again. Credit Controller (CCU) The credit controller can only update the CCU Comments, if and only if the Regularization Date and RM Comments are present. Otherwise, the CCU Comments field will be disabled (greyed-out) . All other fields will also be disabled (greyed-out) for the CCU. On updating the CCU Comments, a successful message will be displayed to the CCU and then the CCU will be navigated to the Dashboard screen. CMU The CMU can only update the CMU comments, if and only if the CCU Comments are present. Otherwise, the CMU Comments field should be disabled (greyed-out) . All other fields will be disabled (greyed-out) for the CMU. On updating the CMU Comments, a successful message will be displayed to the CMU and then the CMU will be navigated to the Dashboard screen. UH The UH can only update the UH comments All other fields will be disabled (greyed-out) for the UH. On updating the UH Comments, a successful message will be displayed to the UH and then the UH will be navigated to the Dashboard screen. Environment: Presentation Layer: HTML, CSS, JavaScript, Jquery Business Layer: .NET Framework 4.5, ASP.Net MVC5 Database Layer: SQL Server 2012 Operating System: Windows 7 Role and Responsibilities: â¢ Understanding requirements, Coding and unit testing. â¢ SRS documentation and Development. Education Details 
 MCM  Pune, Maharashtra Pune University
 B.Sc. Computer Science Indore, Madhya Pradesh DAVV University
Designation - Dot Net Developer 

Dot Net Developer
Skill Details 
Entity Framework- Exprience - Less than 1 year months
C#- Exprience - Less than 1 year months
Asp.Net- Exprience - Less than 1 year months
Javascript- Exprience - Less than 1 year months
OOP- Exprience - Less than 1 year months
ASP.Net MVC- Exprience - Less than 1 year months
CSS- Exprience - Less than 1 year months
Ajax- Exprience - Less than 1 year months
SQL- Exprience - Less than 1 year months
Jquery- Exprience - Less than 1 year months
HTML- Exprience - Less than 1 year months
JSON- Exprience - Less than 1 year monthsCompany Details 
company - Cognizant Technology Solutions
description - I am working as a dot net developer.
company - Ni-Lux Software Ltd.
description - I was worked as a dot net developer.
company - Ni-lux Software Ltd
description - ",Applicant 6
DotNet Developer,"TECHNICAL SKILLS â Programming Languages: C#.NET â Web Technologies: ASP.NET MVC, Web API, Angular, JQuery, HTML5, CSS3, Bootstrap. â Database: SQL Server 2014 â IDE: Visual Studio 2015, Visual Studio Code â Office Packages: MS-Office (Access, Word, Excel) Education Details 
January 2016 B.Sc.(Computer Science)  Solapur, Maharashtra Solapur University
DOT NET Developer 

DOT NET Developer - Navshar Global Software
Skill Details 
.NET- Exprience - 15 months
ASP- Exprience - 15 months
ASP.NET- Exprience - 15 months
BOOTSTRAP- Exprience - 15 months
jQuery- Exprience - 15 months
ASP.NET MVC- Exprience - Less than 1 year months
Angularjs- Exprience - Less than 1 year months
C#- Exprience - Less than 1 year months
Entity Framework- Exprience - Less than 1 year monthsCompany Details 
company - Navshar Global Software
description - 017.

PROJECTS WORKED ON
1. Navnirman Tech Festival
â Navnirman Tech Festival is a technical event management application that is used to scheduling and organizing event.
â Technologies: ASP.NET MVC, SQL Server, Entity Framework, AJAX, JQuery
â Role: Involved Everywhere

2. Like Security
â The Like Security web application provides trusted services and man power as well labour management.
â Technologies: ASP.NET MVC, SQL Server, Bootstrap, AJAX, JQuery
â Role: Involved Everywhere

3. Performance Review (In House Project)
â This is an In-House Web application which is used to fill the review for particular Employee by other employees who worked with him. This application is very useful to take decision in appraisal of employee. All the submitted review can be downloaded in PDF format as per selection.
â Technologies: ASP.NET MVC, Entity Framework, SQL Server, AJAX, JQuery
â Role: Involved Everywhere
company - None
description - None",Applicant 7
DotNet Developer,"TECHNICAL SKILLS â¢ Web Technologies: ASP .NET, HTML, CSS, Jquery. â¢ Languages: C, C++, C#.NET, MVC 5. â¢ Database: SQL SERVER 2005/2008/2016. â¢ Reporting Tools.: Kindo UI, Telerik functions, Crystal Report. â¢ Platforms: Visual Stadio 2010/2014. Education Details 
January 2014 B.E  Satara, Maharashtra L.N.B.C.College of Engg Satara.
January 2011 Diploma Thergaon Pune, Maharashtra M.M.Polytechnic
Dot net developer 


Skill Details 
.NET- Exprience - 24 months
ASP- Exprience - 24 months
C#- Exprience - 24 months
C++- Exprience - 6 months
CRYSTAL REPORT- Exprience - 6 months
Html- Exprience - Less than 1 year months
Css- Exprience - Less than 1 year months
Entityframewok,jquery,javascript- Exprience - Less than 1 year months
Mvc- Exprience - 6 months
Sql- Exprience - 24 monthsCompany Details 
company - Corecode technology
description - Worked on web application using asp,c#,mvc
as well as sql for database and also bootstrap,css,html for designing.created reports using kindo and telerik controls
company - Inetsoft solution
description - Created web application using asp and c# and also used sql for database.",Applicant 8
DotNet Developer,"Participated in intra college cricket competition and various other sports events. Group dance in college cultural programme Education Details 
 Msc Computer Science Pune, Maharashtra Pune University
 Bsc Computer Science Pune, Maharashtra Pune University
 HSC Semi-English Pune, Maharashtra Maharashatra Board
 SSC Semi-English Pune, Maharashtra Maharashatra Board
DOT NET Developer 

Dot Net Developer
Skill Details 
Asp.Net,C#, HTML, CSS, SQL- Exprience - 6 months
Javascript- Exprience - Less than 1 year months
sql server 2008/2012- Exprience - Less than 1 year monthsCompany Details 
company - 
description - ",Applicant 9
DotNet Developer,"Technical Skills â¢ Languages: C#, ASP .NET MVC, HTML, CSS, JavaScript, AngularJs â¢ Primary Skill: Entity Framework. â¢ Tools Used: SQL Server 14, Visual Studio 13. Project Details: 1.Project Name: Transport Management System Role: Dot Net Developer Platform Used: MVC, AngularJs, SQL Server Description: This project is about the Transport Management System. This project is used to keeps all the record of the Vehicle, Customer, Employee. Reduce costs with centralized planning and execution of logistics activities. Vehicle owner can add his vehicle for rent of the specific day into the application from their location. Admin can easily access the data of Vehicle, Customer & Employee. Responsibilities: Used 3-tier architecture for presentation layer, the Business and Data Access Layers and were coded using C# as per user Requirements. Make changes in the project with discussing the group for new requirement. Work on Customer and Vehicle model. 2.Project Name: CRM Role: Dot Net Developer Platform Used: MVC, SQL Server Description: It's kind of CRM Application where a training institute can easily track their student data. where we have different user store or access and utilise to manage this data with application. Any user can easily fill the information of the leads comes in that institute also who joined or Convert that leads as a student in that institute. All information can store or easily manage this application also the good leads or the student who didn't join but their records are store in this application so this application help institute to fetch all the contacts information or those leads or student who didn't join that time. We can later contact to those leads in future. Also with the application we get to know each and every leads or student who joined Responsibilities: Used 3-tier architecture for presentation layer, the Business and Data Access Layers and were coded using C# as per user Requirements. Make changes in the project with discussing the group for new requirement. Work on Enquiry model. Key Strength: â¢ Adaptability. â¢ Hard Worker. â¢ Self Motivated. â¢ Positive Attitude.Education Details 
January 2008 HSC   Maharashtra Board
January 2006 SSC   Maharashtra Board
Dot Net Developer 

Dot Net Developer - Glyphisoft Technology
Skill Details 
ASP- Exprience - 14 months
DOT- Exprience - 14 months
MODEL VIEW CONTROLLER- Exprience - 14 months
MODEL-VIEW-CONTROLLER- Exprience - 14 months
MVC- Exprience - 14 monthsCompany Details 
company - Glyphisoft Technology
description - Having around 1.1+ Years of experience in development in Asp.net MVC
â¢   Currently associated with Glyphisoft Technology Solution as .net Developer.",Applicant 10
